TRIP_CODE,STARTPORT,ENDPORT,REGION,STARTLATITUDE,STARTLONGITUDE,STARTSAMPLEDATEUTC,ENDLATITUDE,ENDLONGITUDE,ENDSAMPLEDATEUTC,MILES,VESSEL_NAME,ACKNOWLEDGEMENTS
FRSY20110318,Fremantle,Sydney,Great Australian Bight,-40.51981,114.99345,2011-03-18 02:49:01,-34.82595,142.42302,2011-03-25 16:02:38,1185,Hespérides,Malaspina Cruise
GLTO20140104,Gladstone,Townsville,Great Barrier Reef,-22.17561,147.08225,2014-01-04 01:32:57,-19.15664,150.88328,2014-01-05 02:36:23,295,Kweichow,Swires
GLTO20140310,Gladstone,Townsville,Great Barrier Reef,-23.76664,148.82955,2014-03-10 06:58:46,-19.96926,151.52693,2014-03-11 06:47:31,285,Kweichow,Swires
GLTO20141129,Gladstone,Townsville,Great Barrier Reef,-21.9326,147.22693,2014-11-29 22:12:48,-19.17434,150.75946,2014-11-30 20:48:36,270,Kweichow,Swires
GLTO20150202,Gladstone,Townsville,Great Barrier Reef,-21.84159,147.21364,2015-02-02 22:22:55,-19.16944,150.7225,2015-02-03 20:45:22,265,Kweichow,Swires
GLTO20150414,Gladstone,Townsville,Great Barrier Reef,-22.81912,147.26428,2015-04-14 22:33:42,-19.18989,151.14101,2015-04-16 03:47:40,325,Kweichow,Swires
GLTO20150620,Gladstone,Townsville,Great Barrier Reef,-21.72502,147.14922,2015-06-20 22:28:49,-19.14702,150.62408,2015-06-21 21:58:02,260,Kweichow,Swires
GLTO20150816,Gladstone,Townsville,Great Barrier Reef,-23.72675,148.75695,2015-08-16 01:54:30,-19.8738,151.51984,2015-08-17 03:33:33,290,Kweichow,Swires
GLTO20151018,Gladstone,Townsville,Great Barrier Reef,-20.85108,148.19489,2015-10-18 22:43:53,-19.59708,149.80501,2015-10-19 09:49:48,125,Kweichow,Swires
GLTO20160416,Gladstone,Townsville,Great Barrier Reef,-21.84319,147.13242,2016-04-16 23:01:01,-19.14305,150.72093,2016-04-17 18:28:55,270,Kweichow,Swires
GLTO20160816,Gladstone,Townsville,Great Barrier Reef,-23.77936,147.19922,2016-08-16 19:41:18,-19.16517,151.51767,2016-08-18 00:41:24,390,Kweichow,Swires
GLTO20170209,Gladstone,Townsville,Great Barrier Reef,-23.72795,149.18035,2017-02-09 06:44:32,-20.13698,151.51593,2017-02-10 07:28:12,260,Kweichow,Swires
GPFL20130603,Geranium Passage,Flinders Reef,Great Barrier Reef,-17.72474,146.54542,2013-06-03 02:46:24,-17.60197,148.35078,2013-06-03 12:38:19,90,RV Cape Ferguson,AIMS
HOAB20130404,Hobart,Great Australian Bight,Great Australian Bight,-42.65199,131.21466,2013-04-04 01:30:40,-35.09384,144.75809,2013-04-09 23:49:24,775,Southern Surveyor,CSIRO
HOAB20151025,Hobart,Great Australian Bight,Great Australian Bight,-42.91974,138.70352,2015-10-25 23:03:23,-37.30867,145.04942,2015-10-27 15:10:28,455,RV Investigator,CSIRO; MNF - IN2015_C01
HOAN20071217,Hobart,Antarctica,Southern Ocean,-65.2567,141.7908,2007-12-17 21:47:00,-47.7837,144.3616,2007-12-21 13:53:00,1047.73,Aurora Australis,SOCPR
HOAN20080322,Hobart,Antarctica,Southern Ocean,-64.0761,140.1709,2008-03-22 09:40:00,-43.7182,147.3741,2008-03-27 22:26:00,1266.4,Aurora Australis,SOCPR
HOAN20081125,Hobart,Antarctica,Southern Ocean,-60.1323,116.5065,2008-11-25 14:00:00,-46.9948,134.8245,2008-11-28 14:57:00,1038.22,Aurora Australis,SOCPR
HOAN20091209,Hobart,Antarctica,Southern Ocean,-61.8604,114.0815,2009-12-09 22:25:00,-51.0683,140.0099,2009-12-13 19:17:00,1077.98,Aurora Australis,SOCPR
HOAN20101021,Hobart,Antarctica,Southern Ocean,-55.3964,113.1919,2010-10-21 22:53:00,-44.4477,144.3808,2010-10-28 05:08:00,928.73,Aurora Australis,SOCPR
HOAN20101210,Hobart,Antarctica,Southern Ocean,-48.0385,140.8884,2010-12-10 21:49:00,-44.5078,147.2957,2010-12-12 09:00:00,373.81,Aurora Australis,SOCPR
HOAN20110108,Hobart,Antarctica,Southern Ocean,-63.5304,141.9922,2012-01-08 10:54:00,-43.4443,147.4264,2012-07-14 19:59:00,875.34,Aurora Australis,SOCPR
HOAN20111023,Hobart,Antarctica,Southern Ocean,-59.2588,103.5214,2011-10-23 21:46:00,-44.3834,145.3078,2012-03-19 06:04:00,2160.31,Aurora Australis,CSIRO; SOCPR
HOAN20141022,Hobart,Antarctica,Southern Ocean,-47.446,136.6573,2014-10-22 22:09:00,-44.2717,145.1512,2014-10-24 15:01:00,411.65,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20141205,Hobart,Antarctica,Southern Ocean,-49.5927,138.4092,2014-12-05 22:43:00,-44.7223,145.6604,2014-12-07 07:51:00,421.34,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20150128,Hobart,Antarctica,Southern Ocean,-47.5362,136.0919,2015-01-28 21:54:00,-44.2078,145.6135,2015-01-30 06:44:00,449.84,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20151029,Hobart,Antarctica,Southern Ocean,-46.4918,138.7613,2015-10-29 05:30:00,-43.9056,146.4106,2015-10-30 13:28:00,363.72,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20151209,Hobart,Antarctica,Southern Ocean,-47.7635,140.839,2015-12-09 21:55:00,-44.3051,146.1838,2015-12-11 04:37:00,309.74,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20160112,Hobart,Antarctica,Southern Ocean,-62.4252,96.5827,2016-01-12 03:10:00,-45.3745,143.6476,2016-01-20 21:51:00,1929.38,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20161208,Hobart,Antarctica,Southern Ocean,-48.8849,143.6798,2016-12-08 05:46:00,-43.8729,146.8521,2016-12-09 21:16:00,350.2,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20170125,Hobart,Antarctica,Southern Ocean,-47.0419,142.9068,2017-01-25 21:31:00,-44.4889,145.2576,2017-01-26 13:42:00,187.93,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20171031,Hobart,Antarctica,Southern Ocean,-58.8685,103.0346,2017-10-31 02:50:00,-43.7007,146.2033,2017-11-09 03:28:00,1995.38,Aurora Australis,AAD; CSIRO; SOCPR
HOAN20171213,Hobart,Antarctica,Southern Ocean,-62.9718,113.9655,2017-12-13 05:17:00,-44.049,147.5233,2017-12-19 23:33:00,1572.08,Aurora Australis,AAD; CSIRO; SOCPR
